parcel_id,address,price,sqft,metro_dist,grocery,kid_friendly,status,zipcode
24180000700,"2112 PENROSE ST
",1000,3995,1.9453437178416018,N,N,Built,
24200002000,"2231 ANGELICA ST
",1000,5229,1.9860214122761455,Y,N,Built,
24200003400,"4160 GLASGOW AV
",1000,3670,1.9177296121418015,N,N,Built,
24230000400,"4138 PECK ST
",1000,3000,1.8251380757704159,N,N,Built,
24230000500,"4142 PECK ST
",1000,6000,1.8201197924319872,N,N,Built,
24230000600,"4144 PECK ST
",1000,4971,1.814043606359497,N,N,Built,
24230002500,"4137 PLEASANT ST
",1000,2420,1.8472924009245395,N,N,Built,
24240001200,"4156 PLEASANT ST
",1000,4500,1.8428891535071044,N,N,Built,
24240001500,"4165 GROVE ST
",1000,4090,1.8515778899297057,N,N,Built,
24240001600,"4163 GROVE ST
",1000,3000,1.856018358800575,N,N,Built,
24240001900,"4157 GROVE ST
",1000,3000,1.8660741967978407,N,N,Built,
24240002000,"4155 GROVE ST
",1000,3000,1.8694235327063593,N,N,Built,
24240002100,"4153 GROVE ST
",1000,3000,1.8727608396038091,N,N,Built,
24240002300,"4145 GROVE ST
",1000,3000,1.8794120040924007,N,N,Built,
24240002400,"4143 GROVE ST
",1000,3000,1.882761340001411,N,N,Built,
24240002500,"4141 GROVE ST
",1000,3000,1.886110675909673,N,N,Built,
24240002600,"4139 GROVE ST
",1000,3000,1.8894660366998253,N,N,Built,
24240002700,"4135 GROVE ST
",1000,3000,1.8928171779979286,N,N,Built,
24240002800,"4133 GROVE ST
",1000,3000,1.8961665139069388,N,N,Built,
24240002900,"4131 GROVE ST
",1000,3000,1.899533903707412,N,N,Built,
24240003000,"4129 GROVE ST
",1000,4200,1.9034912614962414,N,N,Built,
24250000400,"4140 GROVE ST
",1000,2250,1.9088628823283076,N,N,Built,
24250000500,"4144 GROVE ST
",1000,2250,1.9054888796843006,N,N,Built,
24250000600,"4146 GROVE ST
",1000,2250,1.9021148770405503,N,N,Built,
24250000700,"4148 GROVE ST
",1000,2250,1.8987228205048237,N,N,Built,
24250000800,"4150 GROVE ST
",1000,2250,1.8953488178600904,N,N,Built,
24250000900,"4152 GROVE ST
",1000,2250,1.8919748152165965,N,N,Built,
24250000950,"4154 GROVE ST
",1000,2250,1.8886008125718414,N,N,Built,
24250001550,"4161 GLASGOW AV
",1000,2196,1.8968269681624774,N,N,Built,
24260001000,"4209 GLASGOW AV
",1000,2200,1.8659963367943766,N,N,Built,
24260001300,"4203 GLASGOW AV
",1000,3078,1.8768519068692893,N,N,Built,
24270001100,"4228 PLEASANT ST
",1000,3000,1.7833248468666494,N,N,Built,
24270001200,"4232 PLEASANT ST
",1000,3000,1.7799228710662638,N,N,Built,
24270002900,"4225 GROVE ST
",1000,3000,1.8091153365444683,N,N,Built,
24280000400,"4208 PECK ST
",1000,3000,1.7656102296920742,N,N,Built,
24280000500,"4210 PECK ST
",1000,3000,1.762306291367088,N,N,Built,
24280002100,"4251 PLEASANT ST
",1000,404,1.7245290480643667,N,N,Built,
24280003301,"4223 PLEASANT ST
",1000,3000,1.7674409358443555,N,N,Built,
24280003400,"4221 PLEASANT ST
",1000,3000,1.7707457664882804,N,N,Built,
24280003500,"4217 PLEASANT ST
",1000,3000,1.7741378230242417,N,N,Built,
24280003600,"4215 PLEASANT ST
",1000,3000,1.7775118256684836,N,N,Built,
